ID,Store,Street,City,State,Zip
1,Wah Fay Liquors,2101 8th Ave,Oakland,CA,94606
2,Vision Liquor,1615 Macarthur Blvd,Oakland,CA,94602
3,Souza's Liquors,394 12th St,Oakland,CA,94607
4,Tk Liquors,1500 23th Ave,Oakland,CA,94606
5,Quadriga Wines Inc,6193 Ridgemont Dr,Oakland,CA,94619
6,Bev Mo,525 Embarcadero W, Oakland,CA,94607
7,Fairfax Liquor,5403 Foothill Blvd,Oakland,CA,94601
8,Saleen Market,1200 78th Ave,Oakland,CA,94621
9,Park Liquors,828 Franklin St,Oakland,CA,94607
10,Los Camellos,5913 International Blvd,Oakland,CA,94621
11,Vernon Market,3210 Harrison St,Oakland,CA,94611
12,Seventh Street Food & Liquor,1460 7th St,Oakland,CA,94607
13,Sav-Mor Liquor,1333 Peralta St,Oakland,CA,94607
14,Vernon Market,3710 Telegraph Ave,Oakland,CA,94609
15,Buckingham Wine & Spirits,3293 Lakeshore Ave,Oakland,CA,94610
16,Happy Time,1647 8th St,Oakland,CA,94607
17,Gallager Market,3849 Martin Luther King Jr Way,Oakland,CA,94609
18,Grand Piedmont Liquors,3900 Grand Ave,Oakland,CA,94610
19,J J Buckley Fine Wines,7305 Edgewater Dr #D,Oakland,CA,94621
20,Carriage Trade Liquors, 350 E 18th St,Oakland,CA,94606
