"id","street","city","state","zip","census_format","lat","lon","geoid"
2,"4728 SCOTIA AVE","Oakland","CA",94605,"street=4728 SCOTIA AVE&city=Oakland&state=CA&zip=94605",37.75488,-122.125046,"06001409900"
3,"10834 GOLF LINKS RD","Oakland","CA",94605,"street=10834 GOLF LINKS RD&city=Oakland&state=CA&zip=94605",37.75383,-122.126884,"06001409900"
4,"4627 GRASS VALLEY RD","Oakland","CA",94605,"street=4627 GRASS VALLEY RD&city=Oakland&state=CA&zip=94605",37.751083,-122.12256,"06001409900"
5,"380 ELYSIAN FIELDS DR","Oakland","CA",94605,"street=380 ELYSIAN FIELDS DR&city=Oakland&state=CA&zip=94605",37.761078,-122.12819,"06001409900"
6,"111 DONNA WAY","Oakland","CA",94605,"street=111 DONNA WAY&city=Oakland&state=CA&zip=94605",37.760193,-122.13217,"06001409900"
7,"4855 SCOTIA AVE","Oakland","CA",94605,"street=4855 SCOTIA AVE&city=Oakland&state=CA&zip=94605",37.75519,-122.12386,"06001409900"
8,"248 ELYSIAN FIELDS DR","Oakland","CA",94605,"street=248 ELYSIAN FIELDS DR&city=Oakland&state=CA&zip=94605",37.759678,-122.1325,"06001409900"
9,"10520 PEBBLE BEACH DR","Oakland","CA",94605,"street=10520 PEBBLE BEACH DR&city=Oakland&state=CA&zip=94605",37.761383,-122.12747,"06001409900"
10,"271 ELYSIAN FIELDS DR","Oakland","CA",94605,"street=271 ELYSIAN FIELDS DR&city=Oakland&state=CA&zip=94605",37.759373,-122.13135,"06001409900"
11,"4840 SHETLAND AVE","Oakland","CA",94605,"street=4840 SHETLAND AVE&city=Oakland&state=CA&zip=94605",37.75289,-122.12222,"06001409900"
12,"24 KEY CT","Oakland","CA",94605,"street=24 KEY CT&city=Oakland&state=CA&zip=94605",37.755417,-122.124565,"06001409900"
